"nameCompany","streetAddress","postalCode","addressLocality","column1"
"Kaufland Berlin-Neukölln, Arcaden","Karl-Marx-Str. 66","12043","Berlin","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Erkner","Friedrichstr. 13","15537","Erkner","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Berlin-Spandau","Grünhofer Weg 9","13581","Berlin-Spandau","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Berlin-Haselhorst","Am Juliusturm 40-46","13599","Berlin-Haselhorst","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Berlin-Friedrichsfelde","Sewanstr. 4, 6","10319","Berlin-Friedrichsfelde","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Berlin Victoria Center","Marktstr. 6","10317","Berlin-Rummelsberg","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Fürstenwalde, Juri-Gagarin","Juri-Gagarin-Str. 32","15517","Fürstenwalde","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Berlin-Moabit","Perleberger Str. 42 A","10559","Berlin-Moabit","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Berlin-Mitte","Karl-Liebknecht-Str. 13","10178","Berlin","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Berlin H.-Blankenstein-Str","Hermann-Blankenstein-Str. 38","10249","Berlin-Prenzlauer Berg","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Berlin-Biesdorf","Weißenhöher Str. 88-108","12683","Berlin","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Berlin Storkower Str.","Storkower Str. 139","10407","Berlin-Prenzlauer Berg","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Berlin-Wedding","Müllerstr. 123-125","13349","Berlin-Wedding","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Berlin Brunnenstr.","Brunnenstr. 105-109","13355","Berlin-Gesundbrunnen","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Berlin, Residenzstr.","Residenzstr. 85","13409","Berlin-Gesundbrunnen","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Berlin-Reinickendorf","Ollenhauerstr. 122","13403","Berlin-Reinickendorf","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Berlin-Marzahn","Märkische Allee 166 168, 172","12681","Berlin-Marzahn","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Vogelsdorf","Frankfurter Chaussee 48","15370","Fredersdorf-Vogelsdorf","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Berlin-Alt-Hohenschönhaus.","Hauptstr. 9-10","13055","Berlin-Alt-Hohenschönhausen","https://www.meinprospekt.de/filialen/kaufland/1"
