OBJECTID,mifcode,strecke_nr,richtung,laenge,von_km_i,bis_km_i,von_km_l,bis_km_l,elektrifiz,bahnnutzun,geschwindi,strecke_ku,gleisanzah,bahnart,kmspru_typ,kmspru_t00,Shape__Length,Shape__Length_2
12951,xka_mrk_830,6340,2,260,103130040,103160000,"31,3 + 40","31,6 + 0",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Halle - Baunat. Guntershausen,zweigleisig,Hauptbahn, , ,,
12952,xka_mrk_830,4850,0,612,104520007,104580019,"45,2 + 7","45,8 + 19",nicht elektrifiziert,Pz/Gz-Bahn,ab 50 bis 100 km/h,Pforzheim - Hochdorf,eingleisig,Hauptbahn, , ,,
12953,xka_mrk_830,6340,2,900,103160000,103250000,"31,6 + 0","32,5 + 0",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Halle - Baunat. Guntershausen,zweigleisig,Hauptbahn, , ,,
12954,xka_mrk_830,5734,0,2855,100690040,100970095,"6,9 + 40","9,7 + 95",nicht elektrifiziert,Pz/Gz-Bahn,bis 50 km/h,Abzw Hufschlag - Waging,eingleisig,Nebenbahn, , ,,
12955,xka_mrk_830,6300,0,7695,103670091,104440086,36.7 +    91,"44,4 + 86",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Sangerhausen - Erfurt Hbf,eingleisig,Hauptbahn,Überlängenende, ,,
12956,xka_mrk_830,2800,0,153,99979919,99989972,"-0,2 + -80","-0,1 + -27",Oberleitung,Pz/Gz-Bahn,bis 50 km/h,Hagen - Haiger,eingleisig,Hauptbahn, , ,,
12957,xka_mrk_830,6867,0,600,100140000,100200000,"1,4 + 0","2,0 + 0",Oberleitung,Pz/Gz-Bahn,bis 50 km/h,Blankenburg - Michaelstein,eingleisig,Nebenbahn, , ,,
12958,xka_mrk_830,3710,0,500,99979999,100030000,"-0,2 + -0","0,3 + 0",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Wetzlar - Koblenz,zweigleisig,Hauptbahn, , ,,
12959,xka_mrk_830,4850,0,381,104580019,104620001,"45,8 + 19","46,2 + 1",nicht elektrifiziert,Pz/Gz-Bahn,bis 50 km/h,Pforzheim - Hochdorf,eingleisig,Hauptbahn, , ,,
12960,xka_mrk_830,6300,0,1214,104440086,104570000,"44,4 + 86","45,7 + 0",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Sangerhausen - Erfurt Hbf,zweigleisig,Hauptbahn, , ,,
12961,xka_mrk_830,1761,0,946,99959986,100050032,"-0,4 + -13","0,5 + 32",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Weetzen - Haste,eingleisig,Hauptbahn, , ,,
12962,xka_mrk_830,6867,0,45,100200000,100200045,"2,0 + 0","2,0 + 45",Oberleitung,Pz/Gz-Bahn,bis 50 km/h,Blankenburg - Michaelstein,eingleisig,Nebenbahn, , ,,
12963,xka_mrk_830,5734,0,225,100970095,101000020,"9,7 + 95","10,0 + 20",nicht elektrifiziert,Pz/Gz-Bahn,bis 50 km/h,Abzw Hufschlag - Waging,eingleisig,Nebenbahn, , ,,
12964,xka_mrk_830,3710,0,342,100030000,100060042,"0,3 + 0","0,6 + 42",Oberleitung,Pz/Gz-Bahn,ab 100 bis 120 km/h,Wetzlar - Koblenz,zweigleisig,Hauptbahn, , ,,
12965,xka_mrk_830,6340,2,300,103250000,103280000,"32,5 + 0","32,8 + 0",Oberleitung,Pz/Gz-Bahn,ab 100 bis 120 km/h,Halle - Baunat. Guntershausen,zweigleisig,Hauptbahn, , ,,
