"nameCompany","streetAddress","postalCode","addressLocality"
"Total","Koeckern Ost / Bab 9","06794","Sandersdorf-Brehna"
"Total","Koeckern Ost / Bab 9","06794","Sandersdorf-Brehna"
"Total","Eilenburger Straße","04849","Bad Dueben"
"Total","Eilenburger Straße","04849","Bad Dueben"
"Total","Bismarckstr. 39","06749","Bitterfeld-Wolfen"
"Total","Bismarckstr. 39","06749","Bitterfeld-Wolfen"
"Total","Ascherslebener Str. 60","06333","Hettstedt"
"Total","Ascherslebener Str. 60","06333","Hettstedt"
"Total","Elsterwerdaer Str. 35","01990","Ortrand"
"Total","Elsterwerdaer Str. 35","01990","Ortrand"
"Total","Nebelschuetzer Str. 4","01917","Kamenz"
"Total","Nebelschuetzer Str. 4","01917","Kamenz"
"Total","Siedlungsstr. 19","04910","Elsterwerda"
"Total","Siedlungsstr. 19","04910","Elsterwerda"
"Total","Weissenberger Str. 10","02708","Loebau"
"Total","Weissenberger Str. 10","02708","Loebau"
"Total","Rothsteinslache 2","04895","Falkenberg"
"Total","Rothsteinslache 2","04895","Falkenberg"
"Total","Ernst-Thaelmann-Str. 1","02994","Bernsdorf"
"Total","Ernst-Thaelmann-Str. 1","02994","Bernsdorf"
"Total","Hoymer Chaussee 108","06449","Aschersleben"
"Total","Hoymer Chaussee 108","06449","Aschersleben"
"Total","Merziener Str. 20","06366","Köthen"
"Total","Merziener Str. 20","06366","Köthen"
"Total","Dessauer Straße","06366","Koethen"
"Total","Dessauer Straße","06366","Koethen"
"Total","Kemberger Str. 9","06905","Bad Schmiedeberg"
"Total","Kemberger Str. 9","06905","Bad Schmiedeberg"
"Total","Schipkauer Str. 20","01987","Schwarzheide"
"Total","Schipkauer Str. 20","01987","Schwarzheide"
"Total","Am Platz Der Jugend 21","06406","Bernburg"
"Total","Am Platz Der Jugend 21","06406","Bernburg"
"Total","Westerhaeuser Straße","06484","Quedlinburg"
"Total","Westerhaeuser Straße","06484","Quedlinburg"
"Total","Halberstaedter Str. 87","06484","Quedlinburg"
"Total","Halberstaedter Str. 87","06484","Quedlinburg"
"Total","An Der Landstr. 73","06429","Nienburg"
"Total","An Der Landstr. 73","06429","Nienburg"
"Total","Briesker Straße","01968","Senftenberg Ot Brieske"
"Total","Briesker Straße","01968","Senftenberg Ot Brieske"
"","USEDOMER str. 1","01969","SENFTENBERG"
"","USEDOMER str. 1","01969","SENFTENBERG"
"Total","Usedomer Str. 1","01968","Senftenberg"
"Total","Usedomer Str. 1","01968","Senftenberg"
"","FRANKFURTER straße14","04916","HERZBERG"
"","FRANKFURTER straße14","04916","HERZBERG"
"Total","Bahnhofstr. 68-72","02826","Goerlitz"
"Total","Bahnhofstr. 68-72","02826","Goerlitz"
"Total","Albrechtstr. 95","06844","Dessau"
"Total","Albrechtstr. 95","06844","Dessau"
"Total","Brandiserstr. 1","04916","Schoenewalde"
"Total","Brandiserstr. 1","04916","Schoenewalde"
"Total","Bab Freienhufener Eck-Ost/A 13","01994","Drochow"
"Total","Bab Freienhufener Eck-Ost/A 13","01994","Drochow"
"Total","Freienhufener Eck West/ A 13","01994","Drochow"
"Total","Freienhufener Eck West/ A 13","01994","Drochow"
"Total","Sonnewalder Str. 91B","03238","Finsterwalde"
"Total","Sonnewalder Str. 91B","03238","Finsterwalde"
"Total","Rosa-Luxemburg-Str. 131","06917","Jessen"
"Total","Rosa-Luxemburg-Str. 131","06917","Jessen"
"Total","Goerlitzer Str. 36","02906","Niesky"
"Total","Goerlitzer Str. 36","02906","Niesky"
"Total","Dessauer Str. 13","06886","Wittenberg"
"Total","Dessauer Str. 13","06886","Wittenberg"
"Total","Sandbreite 1","06869","Coswig"
"Total","Sandbreite 1","06869","Coswig"
"Total","Berliner Ch. 70","06886","Wittenberg"
"Total","Berliner Ch. 70","06886","Wittenberg"
"Total","Spremberger Str. 30","03103","Neupetershain"
"Total","Spremberger Str. 30","03103","Neupetershain"
"Total","Otto-V.-Guerickestr. 18","03130","Spremberg"
"Total","Otto-V.-Guerickestr. 18","03130","Spremberg"
"Total","Muskauer Str. 32","03159","Döbern"
"Total","Muskauer Str. 32","03159","Döbern"
"Total","Berliner Str. 23","03226","Vetschau/Spreewald"
"Total","Berliner Str. 23","03226","Vetschau/Spreewald"
"Total","Boblitzer Chausseestr. 2","03222","Luebbenau/Ot Boblitz"
"Total","Boblitzer Chausseestr. 2","03222","Luebbenau/Ot Boblitz"
"Total","Kolkwitzer Str. 66A","03046","Cottbus"
"Total","Kolkwitzer Str. 66A","03046","Cottbus"
"Total","Berliner Str. 135","03046","Cottbus"
"Total","Berliner Str. 135","03046","Cottbus"
"Total","Schwerinstr. 9-12","03149","Forst"
"Total","Schwerinstr. 9-12","03149","Forst"
"Total","Cottbuser Str. 12A","03185","Peitz"
"Total","Cottbuser Str. 12A","03185","Peitz"
"Total","Jueterboger Ch. 8","15936","Dahme"
"Total","Jueterboger Ch. 8","15936","Dahme"
"Total","Berliner Str. 1","15926","Luckau"
"Total","Berliner Str. 1","15926","Luckau"
"Total","Luckenwalder Str. 19","14913","Jueterbog"
"Total","Luckenwalder Str. 19","14913","Jueterbog"
"Total","Leipziger Str. 152","14929","Treuenbrietzen"
"Total","Leipziger Str. 152","14929","Treuenbrietzen"
"Total","An Der B 96","15938","Golssen"
"Total","An Der B 96","15938","Golssen"
"Total","Brandenburger Straße","14806","Bad Belzig"
"Total","Brandenburger Straße","14806","Bad Belzig"
"Total","Salzufler Allee 40","14943","Luckenwalde"
"Total","Salzufler Allee 40","14943","Luckenwalde"
"Total","Frankfurter Str. 37","15907","Luebben"
"Total","Frankfurter Str. 37","15907","Luebben"
"Total","Luckenwalder Str. 29A","15837","Baruth"
"Total","Luckenwalder Str. 29A","15837","Baruth"
"Total","Bab Koepernitz Buckauthal-Sued/ 2","14793","Ziesar"
"Total","Bab Koepernitz Buckauthal-Sued/ 2","14793","Ziesar"
"Total","Berliner Str. 107","14547","Beelitz"
"Total","Berliner Str. 107","14547","Beelitz"
"Total","Berliner Tor 2","14959","Trebbin"
"Total","Berliner Tor 2","14959","Trebbin"
"Total","Kurfuerstenstr. 5","14797","Kloster Lehnin"
"Total","Kurfuerstenstr. 5","14797","Kloster Lehnin"
"Total","Bab Sued/A 10","14552","Michendorf"
"Total","Bab Sued/A 10","14552","Michendorf"
"Total","Bab Nord/A 10","14552","Michendorf"
"Total","Bab Nord/A 10","14552","Michendorf"
"Total","Wilhelmsdorfer Landstr. 36","14776","Brandenburg an der Havel"
"Total","Wilhelmsdorfer Landstr. 36","14776","Brandenburg an der Havel"
"Total","Brandenburgische Str. 3","14974","Ludwigsfelde"
"Total","Brandenburgische Str. 3","14974","Ludwigsfelde"
