X,Y,OBJECTID,EVA_NR,DS100,IFOPT,NAME,VERKEHR,LAENGE,BREITE,STATUS
6.863933000007664,51.220360999899967,1118,8001590,KDGE,de:05111:18217,Düsseldorf-Gerresheim,RV,6.863933,51.220361,
6.808677999682302,51.208047000097309,1119,8001591,KDOB,de:05111:18094,Düsseldorf-Oberbilk,RV,6.808678,51.208047,
6.82106299974092,51.264123999965562,1120,8001592,KDR,de:05111:18209,Düsseldorf-Rath,RV,6.821063,51.264124,
6.808398000198141,51.261136000196103,1121,8001593,KDRM,de:05111:18210,Düsseldorf-Rath Mitte,RV,6.808398,51.261136,
6.860952999851046,51.180781999866099,1122,8001594,KDRH,de:05111:18748,Düsseldorf-Reisholz,RV,6.860953,51.180782,
6.788783000305147,51.276731999971332,1123,8001595,KDU,de:05111:18206,Düsseldorf-Unterrath,RV,6.788783,51.276732,
6.77320600037777,51.401780999732011,1124,8001596,EDSL,de:05112:16341,Duisburg-Schlenk,RV,6.773206,51.401781,
6.740335000214881,51.210769999982396,1125,8001597,KDHA,de:05111:18111,Düsseldorf-Hamm,RV,6.740335,51.21077,
6.810179000080452,51.226367000028773,1126,8001598,KDFL,de:05111:18010,Düsseldorf-Flingern,RV,6.810179,51.226367,
6.808066999762037,51.392174999883082,1127,8001599,EDBI,de:05112:17026,Duisburg-Bissingheim,RV,6.808067,51.392175,
6.775405999661418,51.382918999863122,1128,8001600,EDBU,de:05112:16332,Duisburg-Buchholz,RV,6.775406,51.382919,
6.777470000299258,51.364774000106223,1129,8001602,EDGR,de:05112:16129,Duisburg-Großenbaum,RV,6.77747,51.364774,
6.760431000331815,51.210208000100508,1130,8001603,KDVS,de:05111:18115,Düsseldorf Völklinger Str.,RV,6.760431,51.210208,
6.753408000186669,51.408999999864783,1131,8001605,"EDHD,EDHP",de:05112:16084,Duisburg-Hochfeld Süd,RV,6.753408,51.409,
6.800789000247087,51.468855000167487,1132,8001607,EDMO,de:05112:16162,Duisburg-Meiderich Ost,nur DPN,6.800789,51.468855,
6.821231999795329,51.468792000192202,1133,8001608,EDOM,de:05112:16357,Duisburg-Obermeiderich,nur DPN,6.821232,51.468792,
6.779924000026103,51.34683500005773,1134,8001609,EDRM,de:05112:16416,Duisburg-Rahm,RV,6.779924,51.346835,
6.736015000216904,51.457279999724136,1135,8001611,EDRU,de:05112:16021,Duisburg-Ruhrort,nur DPN,6.736015,51.45728,
6.80357500023494,51.399253000238375,1136,8001612,"EDWD,EDWDP",de:05112:16371,Duisburg-Wedau,RV,6.803575,51.399253,
