X,Y,OBJECTID,INDEX_NO,REGION_NO,PORT_NAME,COUNTRY,LATITUDE,LONGITUDE,LAT_DEG,LAT_MIN,LAT_HEMI,LONG_DEG,LONG_MIN,LONG_HEMI,PUB,CHART,HARBORSIZE,HARBORTYPE,SHELTER,ENTRY_TIDE,ENTRYSWELL,ENTRY_ICE,ENTRYOTHER,OVERHD_LIM,CHAN_DEPTH,ANCH_DEPTH,CARGODEPTH,OIL_DEPTH,TIDE_RANGE,MAX_VESSEL,HOLDGROUND,TURN_BASIN,PORTOFENTR,US_REP,ETAMESSAGE,PILOT_REQD,PILOTAVAIL,LOC_ASSIST,PILOTADVSD,TUGSALVAGE,TUG_ASSIST,PRATIQUE,SSCC_CERT,QUAR_OTHER,COMM_PHONE,COMM_FAX,COMM_RADIO,COMM_VHF,COMM_AIR,COMM_RAIL,CARGOWHARF,CARGO_ANCH,CARGMDMOOR,CARBCHMOOR,CARICEMOOR,MED_FACIL,GARBAGE,DEGAUSS,DRTYBALLST,CRANEFIXED,CRANEMOBIL,CRANEFLOAT,LIFT_100_,LIFT50_100,LIFT_25_49,LIFT_0_24,LONGSHORE,ELECTRICAL,SERV_STEAM,NAV_EQUIP,ELECREPAIR,PROVISIONS,WATER,FUEL_OIL,DIESEL,DECKSUPPLY,ENG_SUPPLY,REPAIRCODE,DRYDOCK,RAILWAY
-62.100000000338774,10.633333333506691,2312,12275,11950,PUERTO DE HIERRO,VE,10.633333,-62.1,10,38,N,62,6,W,148,24414,S,OR,F,N,N,N,Y,N, ,M,N, ,0,L,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y, ,Y, , ,Y,Y, , ,Y, , , , ,Y, , ,N,Y,Y, ,Y,Y,Y,Y,Y,Y, , , , ,Y, , , , , , , 
-63.033333333608731,10.150000000210557,2313,12280,11950,CARIPITO,VE,10.15,-63.033333,10,9,N,63,2,W,148,24404,V,RN,E,Y,N,N,Y, ,K,G, ,K,4,L,Y,Y,Y,N,Y,Y,Y, , , ,Y,Y, ,Y, , ,Y,Y, ,Y,Y, , , , ,Y, , ,Y,Y,Y, ,Y,Y, ,Y,Y,Y, ,N,N, ,Y,Y,Y, , ,D, , 
-62.683333333407909,8.366666666813236,2314,12330,11950,PALUA,VE,8.366667,-62.683333,8,22,N,62,41,W,148,24382,V,RN,P,N,Y,N,Y,Y, , ,H, ,0,L, ,Y, ,N,Y,Y,Y,Y,Y,N,Y,Y, ,Y, , ,Y,Y,Y, ,Y, ,Y, , ,Y, , , ,Y, , , , ,Y, ,Y,Y, , ,Y,Y,Y,Y, , , ,D, ,S
-62.71666666680315,8.350000000253187,2315,12335,11950,PUERTO ORDAZ,VE,8.35,-62.716667,8,21,N,62,43,W,148,24382,S,RN,F,N,N,N,Y,Y,K, ,K,J,4,L,Y,Y,Y,N,Y,Y,Y,Y,Y, ,Y,Y, ,Y, , ,Y, ,Y,Y,Y, ,Y, , ,Y,Y, ,N, ,Y, ,Y,Y,Y, ,Y, , , , ,Y,Y,Y,Y, , ,D, ,M
-58.166666666887537,6.833333333370328,2316,12370,12350,GEORGETOWN,GY,6.833333,-58.166667,6,50,N,58,10,W,124,24388,M,RN,G,Y,N,N,Y,Y,M,N,M,M,2,L,Y, ,Y,Y,Y,Y,Y, , ,N,Y,Y, ,Y,Y,Y,Y,Y,Y,Y,Y,Y, , , ,Y, , ,N,Y,Y,N,Y,Y,Y, ,Y, , , , , ,Y, ,Y, , ,C,S,S
-58.299999999570169,5.999999999604704,2317,12380,12350,LINDEN,GY,6,-58.3,6,0,N,58,18,W,124,24028,V,RN,E,Y,N,N,Y,N,M, ,M,O,1,M, , ,Y,N,Y,Y,Y,Y,Y,N,N, , ,Y, , ,Y, , , ,Y, , , , ,Y, , ,N, , , , , , , , , , , , , ,Y,Y, , , ,C, , 
-57.51666666702792,6.250000000344892,2318,12390,12350,NEW AMSTERDAM,GY,6.25,-57.516667,6,15,N,57,31,W,124,24385,V,RN,G,Y,Y,N,Y,N,Q,O,N,N,3, ,Y, ,Y,Y,Y,Y, , , ,N,N,Y, , , , ,Y,Y, ,Y,Y,Y, , , ,Y, , ,N, , , , , , ,Y,Y, , , , , ,Y,Y, , , , , ,S
-56.999999999850928,5.950000000013205,2319,12405,12395,NIEUW NICKERIE,SR,5.95,-57,5,57,N,57,0,W,124,24380,V,RN,F,Y,N,N,Y,N,O,O,P,O,2,M, , ,Y,Y,Y,Y,Y, , , ,N,Y, ,Y,Y, ,Y,Y,Y, ,Y,Y, , , ,Y,N, ,N,N,N,N,N,N,N,N,Y, , , , ,Y,Y,Y,Y,Y,Y,N, , 
-55.16666666670627,5.833333332993635,2320,12410,12395,PARAMARIBO,SR,5.833333,-55.166667,5,50,N,55,10,W,124,24375/6,S,RN,E,Y,N,N,Y,Y,O,N,N,N,2,L, , ,Y,Y,Y,Y,Y, ,Y,N,Y,Y, ,Y, , ,Y,Y,Y,Y,Y,Y, , , ,Y,N, ,N, ,Y, , , , ,Y,Y, , ,Y,Y,Y,Y,Y,N, , ,C, ,S
-55.099999999915795,5.616666666676287,2321,12415,12395,PARANAM,SR,5.616667,-55.1,5,37,N,55,6,W,124,24376,V,RN,E,Y,N,N,N,Y,O,K,L, ,2,L, ,Y,Y,Y,Y,Y,Y, , ,N,N,Y, ,Y, , ,Y,Y,Y,Y,Y, , , , ,Y,N, ,N,Y, , , ,Y, , ,Y, , , , , ,Y,Y, , , ,C,M,S
